Date,Open,High,Low,Close,Adj Close,Volume
2012-09-03,340.996857,354.795135,335.492493,351.756531,351.756531,19822100
2012-09-10,353.554779,355.168732,339.168701,353.514954,353.514954,24799300
2012-09-17,352.732880,366.087799,351.183685,365.624542,365.624542,31998800
2012-09-24,364.135132,381.016846,363.761536,375.841248,375.841248,44184100
2012-10-01,378.107758,385.744141,373.734161,382.391693,382.391693,26812900
2012-10-08,379.079132,380.364288,367.766510,370.984467,370.984467,23667700
2012-10-15,369.584717,378.292053,334.745300,339.622009,339.622009,62823700
2012-10-22,339.233459,342.381683,333.599579,336.314423,336.314423,27744400
2012-10-29,338.660614,346.476318,336.239685,342.675568,342.675568,11867000
2012-11-05,340.971954,342.147552,323.935822,330.277039,330.277039,22407200
2012-11-12,330.635681,333.649414,316.812500,322.381622,322.381622,19985200
2012-11-19,326.625732,337.734100,326.541046,332.737823,332.737823,15039000
2012-11-26,331.975677,348.304474,327.771423,347.881042,347.881042,27493000
2012-12-03,349.808838,351.627014,339.890991,340.827484,340.827484,18926600
2012-12-10,341.415283,356.897247,340.618286,349.669342,349.669342,24200500
2012-12-17,351.432739,363.188690,350.695496,356.478821,356.478821,26381900
2012-12-24,355.920929,356.254669,348.000610,348.697998,348.697998,10183000
2012-12-31,348.693024,369.350586,346.700470,367.607117,367.607117,19312400
2013-01-07,366.351837,371.108978,360.862396,368.613342,368.613342,17017900
2013-01-14,367.123932,369.714233,349.355530,350.939606,350.939606,28613000
2013-01-21,351.014313,377.823822,346.461365,375.427795,375.427795,30734500
2013-01-28,374.476379,386.850006,371.876129,386.351868,386.351868,21053000
2013-02-04,382.411621,391.866180,377.719208,391.218628,391.218628,25795000
2013-02-11,387.746643,395.148895,385.430298,394.964569,394.964569,19452400
2013-02-18,396.508789,402.974548,394.132690,398.361847,398.361847,22596600
2013-02-25,399.652008,402.695587,390.735413,401.589752,401.589752,22029300
2013-03-04,401.146393,420.424133,400.996979,414.207458,414.207458,29424000
2013-03-11,414.292145,418.282166,405.151398,405.629608,405.629608,20064800
2013-03-18,400.996979,408.095367,399.238556,403.642059,403.642059,16794400
2013-03-25,404.688141,408.085388,395.168823,395.612152,395.612152,14764500
2013-04-01,396.020630,405.893616,386.750366,390.062958,390.062958,23023000
2013-04-08,387.920990,395.069183,382.765289,393.549866,393.549866,21345900
2013-04-15,391.507538,400.219879,379.208618,398.441528,398.441528,30830100
2013-04-22,398.805176,407.472687,386.052979,399.213654,399.213654,23054800
2013-04-29,400.125244,421.818909,400.000702,421.280945,421.280945,21265800
2013-05-06,422.546204,438.625916,422.546204,438.471497,438.471497,21413200
