Date,Open,High,Low,Close,AdjClose,Volume
1962-01-08,7.460000,7.573333,7.266667,7.520000,2.161858,2084800
1962-01-15,7.546667,7.570000,7.293334,7.380000,2.121612,1692800
1962-01-22,7.380000,7.453333,7.213333,7.216667,2.074656,1612800
1962-01-29,7.216667,7.440000,7.003334,7.440000,2.138859,3222400
1962-02-05,7.440000,7.440000,7.306667,7.420000,2.133110,1267200
1962-02-12,7.420000,7.480000,7.260000,7.260000,2.087398,1190400
1962-02-19,7.260000,7.293334,7.136667,7.160000,2.058645,1219200
1962-02-26,7.160000,7.346667,7.093333,7.306667,2.100815,1436800
1962-03-05,7.306667,7.373333,7.253334,7.373333,2.119983,1139200
1962-03-12,7.373333,7.393333,7.333333,7.366667,2.118066,1001600
1962-03-19,7.380000,7.413333,7.266667,7.293334,2.096981,1211200
1962-03-26,7.293334,7.320000,7.070000,7.103333,2.042352,1468800
1962-04-02,7.100000,7.100000,6.760000,6.940000,1.995390,3275200
1962-04-09,6.940000,7.026667,6.800000,6.906667,1.985807,1827200
1962-04-16,6.906667,6.993333,6.826667,6.920000,1.989641,1617600
1962-04-23,6.920000,6.956666,6.400000,6.473333,1.861215,3787200
1962-04-30,6.473333,6.533333,5.733333,6.480000,1.863132,12353600
1962-05-07,6.480000,6.530000,5.920000,5.946667,1.709787,7262400
1962-05-14,5.946667,6.173333,5.843333,6.020000,1.731145,6993600
1962-05-21,6.020000,6.020000,5.173333,5.313334,1.527932,12737600
1962-05-28,5.293334,5.333333,4.733333,5.133333,1.476171,14715200
1962-06-04,5.066667,5.066667,4.706666,4.950000,1.423450,10246400
1962-06-11,4.950000,4.960000,4.000000,4.446667,1.278709,21902400
1962-06-18,4.446667,4.570000,4.140000,4.266667,1.226947,17009600
1962-06-25,4.266667,4.646667,4.206666,4.523334,1.300756,16881600
1962-07-02,4.523334,4.716667,4.513333,4.600000,1.322802,7616000
1962-07-09,4.600000,5.196667,4.546667,5.016667,1.442621,13651200
1962-07-16,5.016667,5.126667,4.826667,4.960000,1.426326,8668800
1962-07-23,4.960000,5.026667,4.783333,5.011667,1.441183,5497600
1962-07-30,5.043334,5.246666,5.016667,5.133333,1.476171,9270400
1962-08-06,5.133333,5.153333,4.940000,5.010000,1.440704,11358400
1962-08-13,5.013333,5.256667,5.013333,5.193333,1.493720,7419200
1962-08-20,5.220000,5.530000,5.220000,5.453333,1.568502,10571200
1962-08-27,5.453333,5.490000,5.160000,5.283333,1.519606,8353600
1962-09-03,5.283333,5.353333,5.080000,5.096667,1.465915,7003200
1962-09-10,5.096667,5.186666,5.033333,5.176667,1.488926,6576000
1962-09-17,5.186666,5.331666,5.006667,5.023334,1.444823,8219200
1962-09-24,4.966667,4.966667,4.646667,4.713333,1.355660,11406400
1962-10-01,4.713333,4.825000,4.536667,4.803333,1.381547,9518400
1962-10-08,4.803333,4.956666,4.693333,4.736667,1.362372,6020800
1962-10-15,4.760000,4.913333,4.640000,4.641667,1.335048,6910400
1962-10-22,4.598333,4.598333,4.293334,4.420000,1.271292,13169600
1962-10-29,4.506667,4.931667,4.506667,4.763333,1.370042,12462400
1962-11-05,4.790000,4.886667,4.736667,4.816667,1.385381,5840000
1962-11-12,4.873333,5.058333,4.873333,5.046667,1.451840,9702400
1962-11-19,5.046667,5.173333,4.960000,5.173333,1.488280,6414400
1962-11-26,5.173333,5.356667,5.153333,5.313334,1.528555,9574400
1962-12-03,5.260000,5.413333,5.203333,5.300000,1.524720,7681600
1962-12-10,5.300000,5.343333,5.140000,5.193333,1.494033,5486400
1962-12-17,5.193333,5.293334,5.086667,5.136667,1.477731,4913600
1962-12-24,5.171667,5.293334,5.171667,5.233333,1.505540,2761600
1962-12-31,5.233333,5.343333,5.123333,5.293334,1.522801,6091200
1963-01-07,5.293334,5.453333,5.240000,5.436666,1.564037,7484800
1963-01-14,5.436666,5.573333,5.426667,5.500000,1.582256,7878400
1963-01-21,5.500000,5.583333,5.446667,5.580000,1.605269,4086400
1963-01-28,5.596667,5.665000,5.573333,5.650000,1.625409,4577600
1963-02-04,5.650000,5.656667,5.566667,5.600000,1.611024,3334400
1963-02-11,5.600000,5.610000,5.510000,5.583333,1.606611,3403200
1963-02-18,5.583333,5.593333,5.413333,5.470000,1.574000,2947200
1963-02-25,5.466667,5.466667,5.296667,5.296667,1.524122,3990400
1963-03-04,5.333333,5.463333,5.333333,5.446667,1.567285,2737600
1963-03-11,5.446667,5.516667,5.430000,5.510000,1.585508,2380800
